name,team,position,sport,projected_points
Jake Mangum,PIT,OF,MLB,185.250
Erik Miller,SF,RP,MLB,184.900
Blake Treinen,LAD,RP,MLB,184.850
Ryan Zeferjahn,LAA,RP,MLB,184.400
Drew Anderson,DET,RP,MLB,184.300
Sean Newcomb,CWS,SP,MLB,182.950
Mason Montgomery,PIT,RP,MLB,182.850
Pedro Pages,STL,C,MLB,182.750
Isaac Mattson,PIT,RP,MLB,182.550
David Festa,MIN,SP,MLB,182.500
Cole Winn,TEX,RP,MLB,182.400
Brandon Sproat,MIL,SP,MLB,182.350
Greg Weissert,BOS,RP,MLB,182.200
Seth Halvorsen,COL,RP,MLB,181.950
Rhett Lowder,CIN,SP,MLB,181.750
Michael Massey,KC,2B,MLB,181.500
Hunter Harvey,CHC,RP,MLB,181.450
Drew Pomeranz,LAA,SP,MLB,180.700
Tyler Phillips,MIA,RP,MLB,180.650
Tyler Kinley,ATL,RP,MLB,180.450
Jose Butto,SF,SP,MLB,180.250
Stephen Kolek,KC,SP,MLB,180.150
Erik Sabrowski,CLE,RP,MLB,179.750
Chris Martin,TEX,RP,MLB,179.500
Pierce Johnson,CIN,RP,MLB,179.500
John Schreiber,KC,RP,MLB,179.300
Aaron Bummer,ATL,RP,MLB,179.000
PJ Poulin,WSH,RP,MLB,178.800
Graham Pauley,MIA,3B,MLB,178.750
Tobias Myers,NYM,SP,MLB,178.450
A.J. Minter,NYM,RP,MLB,178.300
Eric Lauer,TOR,SP,MLB,178.150
Brooks Raley,NYM,RP,MLB,178.000
Anthony Bender,MIA,RP,MLB,176.800
